Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19960;9;24;7
19946;15;28;11
19925;16;44;15
19888;16;75;21
19841;17;106;36
19773;19;159;49
19652;24;233;91
19480;21;359;140
19197;16;577;210
18764;25;897;314
18106;31;1381;482
17162;41;2069;728
15846;46;3035;1073
14029;48;4299;1624
11885;46;5703;2366
9569;42;7056;3333
7302;39;8175;4484
5287;31;8850;5832
3753;25;8961;7261
2696;24;8684;8596
1958;23;8107;9912
1454;25;7469;11052
1115;29;6756;12100
896;26;6095;12983
741;38;5403;13818
640;38;4830;14492
573;34;4230;15163
546;35;3716;15703
538;32;3255;16175
552;28;2889;16531
532;31;2539;16898
551;23;2233;17193
567;19;1986;17428
576;20;1752;17652
593;20;1548;17839
635;19;1344;18002
667;17;1194;18122
700;13;1072;18215
720;15;942;18323
766;13;849;18372
816;12;744;18428
870;9;648;18473
918;10;558;18514
956;14;491;18539
1012;11;431;18546
1064;10;386;18540
1122;11;350;18517
1164;9;321;18506
1218;8;282;18492
1268;7;251;18474
1325;6;238;18431
1368;5;222;18405
1410;5;213;18372
1478;7;175;18340
1516;6;162;18316
1586;2;158;18254
1650;1;146;18203
1706;2;126;18166
1773;2;117;18108
1822;3;104;18071
1873;3;90;18034
1921;5;78;17996
1973;3;71;17953
2038;2;66;17894
2111;2;55;17832
2170;2;48;17780
2219;2;42;17737
2262;2;38;17698
2318;2;38;17642
2374;1;35;17590
2415;1;29;17555
2462;1;30;17507
2516;0;29;17455
2578;0;25;17397
2630;0;19;17351
2689;0;20;17291
2728;0;17;17255
2778;0;18;17204
2824;0;18;17158
2862;1;15;17122
2909;1;16;17074
2951;0;20;17029
2996;0;18;16986
3050;0;16;16934
3096;0;14;16890
3157;0;12;16831
3211;0;10;16779
3254;0;9;16737
3299;0;9;16692
3339;0;9;16652
3374;0;11;16615
3419;0;10;16571
3470;0;13;16517
3512;0;13;16475
3566;0;14;16420
3609;0;16;16375
3662;0;15;16323
3693;0;14;16293
3745;0;13;16242
3790;0;12;16198
3838;0;13;16149
3880;0;10;16110
3923;0;9;16068
3970;0;8;16022
4022;0;10;15968
4060;0;12;15928
4112;0;11;15877
4150;0;10;15840
4204;0;9;15787
4251;0;10;15739
4303;0;8;15689
4339;0;7;15654
4380;0;7;15613
4434;0;6;15560
4471;0;6;15523
4517;0;5;15478
4555;0;6;15439
4611;0;3;15386
4645;0;3;15352
4691;0;4;15305
4729;0;6;15265
4762;0;5;15233
4804;0;5;15191
4847;1;4;15148
4885;1;5;15109
4927;1;4;15068
4953;0;6;15041
4988;0;4;15008
5024;0;5;14971
5071;0;4;14925
5108;0;4;14888
5155;0;3;14842
5198;0;2;14800
5234;0;2;14764
5279;0;1;14720
5329;0;1;14670
5368;0;1;14631
5418;0;1;14581
5455;0;1;14544
5494;0;2;14504
5537;0;2;14461
5577;0;2;14421
5618;0;2;14380
5673;0;4;14323
5710;0;4;14286
5739;0;5;14256
5773;0;5;14222
5811;0;5;14184
5855;0;5;14140
5890;0;8;14102
5926;0;8;14066
5955;1;8;14036
5976;1;12;14011
6014;0;11;13975
6049;0;11;13940
6080;0;12;13908
6116;0;15;13869
6157;0;17;13826
6174;0;15;13811
6195;0;23;13782
6213;1;27;13759
6250;1;29;13720
6288;0;28;13684
6315;0;34;13651
6340;0;35;13625
6370;1;41;13588
6395;0;49;13556
6418;0;52;13530
6444;0;64;13492
6460;0;76;13464
6477;0;83;13440
6497;0;85;13418
6514;0;86;13400
6529;0;89;13382
6553;1;92;13354
6569;1;103;13327
6579;2;116;13303
6586;1;125;13288
6592;1;142;13265
6606;0;154;13240
6596;2;171;13231
6596;1;189;13214
6583;1;205;13211
6572;1;222;13205
6536;2;245;13217
6523;2;269;13206
6485;4;307;13204
6440;3;339;13218
6392;2;352;13254
6363;1;369;13267
6307;3;406;13284
6251;3;437;13309
6182;3;478;13337
6077;7;539;13377
5987;5;586;13422
5888;7;636;13469
5780;8;675;13537
5677;8;699;13616
5574;9;748;13669
5458;5;801;13736
5350;6;826;13818
5213;6;862;13919
5096;7;907;13990
4921;7;989;14083
4777;6;1009;14208
4637;11;1039;14313
4508;10;1059;14423
4385;9;1052;14554
4278;4;1070;14648
4146;6;1097;14751
4037;5;1099;14859
3930;8;1085;14977
3833;13;1084;15070
3717;16;1092;15175
3620;19;1067;15294
3535;18;1043;15404
3458;18;1037;15487
3382;13;1009;15596
3332;13;986;15669
3276;7;962;15755
3227;7;936;15830
3180;8;895;15917
3120;9;869;16002
3086;6;849;16059
3072;11;814;16103
3047;12;764;16177
3040;13;732;16215
3027;15;717;16241
3029;19;681;16271
3032;20;665;16283
3035;18;630;16317
3033;17;606;16344
3055;11;590;16344
3064;10;563;16363
3087;12;535;16366
3108;11;516;16365
3141;15;510;16334
3160;12;485;16343
3189;13;468;16330
3217;11;440;16332
3244;11;432;16313
3265;11;422;16302
3297;10;405;16288
3317;8;411;16264
3346;8;371;16275
3382;9;363;16246
3420;10;368;16202
3476;11;346;16167
3514;14;334;16138
3562;11;315;16112
3618;11;307;16064
3657;9;313;16021
3686;10;304;16000
3715;11;300;15974
3751;11;301;15937
3798;11;293;15898
3839;8;276;15877
3890;5;270;15835
3947;5;272;15776
3978;2;271;15749
4007;4;264;15725
4032;2;274;15692
4082;5;269;15644
4103;4;285;15608
4125;4;288;15583
4149;5;291;15555
4171;4;291;15534
4207;4;292;15497
4244;7;290;15459
4271;6;296;15427
4308;6;296;15390
4356;3;292;15349
4370;3;296;15331
4411;3;300;15286
4439;5;324;15232
4478;3;327;15192
4513;5;325;15157
4535;9;327;15129
4551;6;344;15099
4556;4;339;15101
4598;2;336;15064
4620;2;336;15042
4635;3;344;15018
4637;3;347;15013
4642;5;360;14993
4657;6;367;14970
4658;11;360;14971
4674;11;360;14955
4657;11;386;14946
4667;8;391;14934
4684;6;394;14916
4696;4;406;14894
4729;6;402;14863
4739;5;412;14844
4747;8;411;14834
4758;7;416;14819
4753;9;435;14803
4771;6;448;14775
4770;9;468;14753
4722;11;495;14772
4714;10;510;14766
4685;8;536;14771
4650;11;543;14796
4643;12;556;14789
4626;12;583;14779
4610;7;597;14786
4603;8;586;14803
4594;7;615;14784
4549;9;632;14810
4512;7;650;14831
4496;8;665;14831
4476;16;668;14840
4449;15;692;14844
4410;14;696;14880
4390;18;712;14880
4349;14;742;14895
4304;17;758;14921
4265;18;757;14960
4199;18;774;15009
4166;21;783;15030
4146;18;775;15061
4123;16;771;15090
4094;20;764;15122
4103;22;750;15125
4092;17;762;15129
4050;19;788;15143
4033;18;767;15182
4022;19;751;15208
4009;14;768;15209
4011;14;748;15227
4005;15;760;15220
3982;20;742;15256
3967;18;730;15285
3935;16;736;15313
3945;15;720;15320
3928;14;711;15347
3933;13;683;15371
3933;13;671;15383
3911;16;670;15403
3912;18;657;15413
3914;21;642;15423
3925;19;631;15425
3928;15;613;15444
3939;14;598;15449
3950;15;589;15446
3974;12;578;15436
3987;10;587;15416
3968;14;590;15428
3964;12;599;15425
3972;13;596;15419
3982;9;572;15437
4005;13;583;15399
4023;11;564;15402
4042;13;553;15392
4066;13;567;15354
4063;8;589;15340
4070;5;581;15344
4071;13;568;15348
4108;15;582;15295
4128;14;589;15269
4132;13;593;15262
4145;10;591;15254
4157;14;587;15242
4166;16;573;15245
4169;16;588;15227
4166;17;585;15232
4177;10;601;15212
4142;8;632;15218
4146;11;633;15210
4149;14;642;15195
4158;14;632;15196
4126;17;651;15206
4124;14;659;15203
4122;16;646;15216
4147;14;637;15202
4141;6;624;15229
4155;9;603;15233
4148;17;622;15213
4123;14;655;15208
4117;19;643;15221
4116;16;629;15239
4088;16;648;15248
4085;17;644;15254
4074;19;636;15271
4086;26;620;15268
4095;20;619;15266
4078;20;617;15285
4062;18;615;15305
4074;17;600;15309
4093;11;596;15300
4109;8;598;15285
4106;6;591;15297
4119;7;597;15277
4117;10;598;15275
4110;13;580;15297
4109;11;587;15293
4129;9;568;15294
4132;13;574;15281
4135;14;581;15270
4130;18;583;15269
4144;16;603;15237
4137;19;585;15259
4146;15;586;15253
4128;12;591;15269
4135;14;593;15258
4150;11;599;15240
4149;10;625;15216
4152;13;617;15218
