Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19965;9;18;8
19948;11;29;12
19913;23;48;16
19873;22;82;23
19793;24;147;36
19639;28;264;69
19402;35;447;116
18966;51;785;198
18275;65;1289;371
17072;77;2235;616
15184;78;3716;1022
12633;84;5552;1731
9755;87;7419;2739
7129;85;8673;4113
4908;80;9479;5533
3356;64;9590;6990
2372;45;9133;8450
1718;40;8513;9729
1299;38;7740;10923
1008;33;6967;11992
803;37;6210;12950
657;40;5572;13731
572;36;4930;14462
561;34;4309;15096
536;29;3804;15631
510;22;3374;16094
516;21;2965;16498
525;23;2600;16852
548;25;2275;17152
553;27;2031;17389
575;25;1755;17645
603;21;1530;17846
654;18;1373;17955
679;15;1208;18098
711;17;1055;18217
744;12;935;18309
802;14;807;18377
850;14;710;18426
891;7;626;18476
950;7;571;18472
996;7;512;18485
1033;11;450;18506
1109;9;388;18494
1162;6;345;18487
1213;5;301;18481
1266;5;261;18468
1315;6;242;18437
1359;3;215;18423
1393;4;190;18413
1460;1;161;18378
1519;1;135;18345
1569;2;120;18309
1625;1;113;18261
1687;1;104;18208
1725;2;103;18170
1779;3;92;18126
1822;2;85;18091
1882;3;73;18042
1934;1;66;17999
1998;1;59;17942
2046;2;56;17896
2099;2;56;17843
2165;2;52;17781
2209;1;46;17744
2264;1;42;17693
2311;1;35;17653
2366;1;30;17603
2416;1;30;17553
2460;2;28;17510
2510;2;28;17460
2573;1;28;17398
2620;0;24;17356
2673;0;25;17302
2716;0;15;17269
2778;0;14;17208
2825;1;15;17159
2873;1;15;17111
2918;1;13;17068
2967;1;9;17023
3014;2;10;16974
3071;1;9;16919
3119;0;7;16874
3170;0;7;16823
3211;0;8;16781
3267;0;9;16724
3308;0;9;16683
3355;0;9;16636
3404;0;11;16585
3460;0;10;16530
3515;0;10;16475
3575;0;9;16416
3609;0;8;16383
3658;0;6;16336
3709;0;7;16284
3754;0;8;16238
3794;0;7;16199
3841;0;5;16154
3885;0;6;16109
3933;0;7;16060
3989;0;8;16003
4029;1;7;15963
4084;0;10;15906
4118;0;9;15873
4166;0;10;15824
4218;0;8;15774
4264;0;8;15728
4311;0;10;15679
4345;0;12;15643
4390;0;11;15599
4436;0;13;15551
4487;0;12;15501
4526;0;9;15465
4555;0;9;15436
4608;0;7;15385
4653;0;8;15339
4694;0;7;15299
4747;0;6;15247
4775;0;1;15224
4814;0;1;15185
4863;0;1;15136
4903;0;4;15093
4946;0;3;15051
4988;0;1;15011
5027;0;1;14972
5073;0;1;14926
5111;0;2;14887
5152;0;3;14845
5190;0;3;14807
5229;0;4;14767
5268;0;8;14724
5301;0;8;14691
5351;0;7;14642
5401;0;5;14594
5431;0;4;14565
5476;0;3;14521
5516;1;3;14480
5560;0;6;14434
5599;0;5;14396
5636;0;6;14358
5672;0;6;14322
5715;0;5;14280
5771;0;5;14224
5802;0;6;14192
5839;0;8;14153
5878;0;6;14116
5914;0;7;14079
5955;0;7;14038
6001;0;8;13991
6041;0;6;13953
6082;0;7;13911
6126;0;7;13867
6158;0;5;13837
6215;0;5;13780
6263;0;5;13732
6310;0;4;13686
6346;0;6;13648
6381;0;7;13612
6423;0;7;13570
6461;0;6;13533
6495;0;5;13500
6532;0;6;13462
6568;0;6;13426
6597;0;9;13394
6629;0;12;13359
6670;0;20;13310
6691;0;24;13285
6724;0;30;13246
6759;0;23;13218
6791;0;24;13185
6818;0;33;13149
6857;1;34;13108
6889;0;38;13073
6916;0;42;13042
6942;0;47;13011
6957;0;44;12999
6983;0;45;12972
7005;1;44;12950
7029;1;43;12927
7047;1;51;12901
7071;0;55;12874
7104;1;57;12838
7110;1;68;12821
7122;0;79;12799
7145;0;78;12777
7156;1;80;12763
7174;1;81;12744
7185;1;99;12715
7192;2;104;12702
7193;1;130;12676
7188;2;145;12665
7190;2;166;12642
7178;1;200;12621
7174;1;214;12611
7155;1;235;12609
7121;2;270;12607
7079;1;310;12610
7026;1;349;12624
6974;0;378;12648
6899;2;429;12670
6827;1;483;12689
6744;1;532;12723
6628;1;590;12781
6497;1;657;12845
6381;1;693;12925
6244;5;756;12995
6092;2;828;13078
5942;7;881;13170
5781;9;924;13286
5613;8;993;13386
5441;9;1061;13489
5247;10;1099;13644
5075;16;1126;13783
4911;10;1170;13909
4722;15;1248;14015
4556;14;1242;14188
4382;15;1282;14321
4225;15;1285;14475
4088;13;1273;14626
3940;16;1293;14751
3805;17;1299;14879
3669;19;1278;15034
3561;21;1254;15164
3469;22;1206;15303
3399;15;1165;15421
3302;13;1127;15558
3254;11;1068;15667
3196;10;1038;15756
3150;13;980;15857
3092;19;949;15940
3052;21;939;15988
3038;14;884;16064
3009;16;848;16127
2997;19;817;16167
2969;19;785;16227
2952;21;744;16283
2951;20;707;16322
2957;15;678;16350
2965;11;652;16372
2964;9;639;16388
2987;6;616;16391
2996;8;576;16420
3005;10;549;16436
3010;13;520;16457
3006;10;517;16467
3014;11;501;16474
3019;9;483;16489
3047;10;468;16475
3072;9;458;16461
3087;13;445;16455
3119;13;426;16442
3167;8;420;16405
3195;7;406;16392
3231;3;393;16373
3272;3;362;16363
3325;5;346;16324
3352;2;332;16314
3380;4;331;16285
3424;5;326;16245
3454;5;333;16208
3486;8;321;16185
3547;6;311;16136
3569;9;314;16108
3598;12;324;16066
3622;10;329;16039
3668;11;323;15998
3718;7;316;15959
3766;8;301;15925
3797;6;290;15907
3822;6;290;15882
3888;4;288;15820
3940;3;275;15782
3984;3;265;15748
4026;3;267;15704
4074;6;259;15661
4107;5;266;15622
4119;5;280;15596
4157;7;296;15540
4182;8;294;15516
4220;8;294;15478
4261;7;293;15439
4306;9;292;15393
4340;7;280;15373
4370;6;292;15332
4419;5;288;15288
4468;3;300;15229
4490;4;305;15201
4521;6;308;15165
4572;5;315;15108
4591;5;324;15080
4623;11;319;15047
4641;9;343;15007
4665;8;345;14982
4689;10;345;14956
4692;13;349;14946
4690;13;376;14921
4711;9;357;14923
4727;7;372;14894
4712;8;410;14870
4727;6;431;14836
4734;6;442;14818
4716;9;456;14819
4694;9;490;14807
4684;8;485;14823
4663;6;504;14827
4656;5;519;14820
4653;8;524;14815
4648;8;522;14822
4629;5;545;14821
4613;6;565;14816
4630;11;541;14818
4622;14;558;14806
4618;14;558;14810
4610;11;582;14797
4568;8;617;14807
4559;6;620;14815
4503;9;637;14851
4474;8;658;14860
4436;11;658;14895
4411;14;681;14894
4375;8;706;14911
4366;5;697;14932
4351;6;692;14951
4297;6;721;14976
4283;5;711;15001
4255;9;708;15028
4212;14;695;15079
4207;18;668;15107
4198;20;677;15105
4181;21;680;15118
4186;17;660;15137
4183;15;658;15144
4220;12;644;15124
4182;9;671;15138
4160;14;654;15172
4161;11;641;15187
4176;13;629;15182
4156;13;632;15199
4148;11;659;15182
4147;8;636;15209
4137;8;664;15191
4131;7;672;15190
4108;13;669;15210
4125;10;645;15220
4155;9;653;15183
4158;14;649;15179
4178;17;644;15161
4200;19;605;15176
4209;18;601;15172
4228;15;598;15159
4262;14;596;15128
4256;17;591;15136
4247;16;627;15110
4226;13;655;15106
4203;13;677;15107
4181;15;696;15108
4180;25;688;15107
4166;20;701;15113
4154;21;702;15123
4140;19;707;15134
4112;21;699;15168
4080;17;699;15204
4115;12;674;15199
4099;20;679;15202
4102;22;667;15209
4095;18;688;15199
4096;17;698;15189
4101;13;694;15192
4080;9;693;15218
4078;9;697;15216
4073;9;708;15210
4073;12;698;15217
4060;16;698;15226
4044;12;691;15253
4056;15;689;15240
4037;16;695;15252
4025;20;691;15264
4031;20;671;15278
4034;17;688;15261
4025;16;687;15272
4025;18;683;15274
4032;17;698;15253
4020;18;693;15269
4013;16;681;15290
4008;15;688;15289
4022;18;677;15283
4006;19;689;15286
4009;20;669;15302
4008;26;659;15307
4008;27;658;15307
4001;24;661;15314
4010;22;644;15324
4022;18;635;15325
4055;15;618;15312
4072;11;620;15297
4072;17;607;15304
4072;10;617;15301
4091;11;612;15286
4079;12;637;15272
4082;12;650;15256
4101;15;624;15260
4105;19;609;15267
4124;16;617;15243
4144;17;626;15213
4147;19;652;15182
4147;19;651;15183
4108;23;676;15193
4091;16;692;15201
4069;18;683;15230
4064;19;675;15242
4061;15;657;15267
4070;10;645;15275
4074;11;638;15277
4076;16;635;15273
4086;15;616;15283
4127;16;600;15257
4124;19;587;15270
4129;13;581;15277
4133;11;610;15246
4129;12;599;15260
4136;13;597;15254
4110;13;609;15268
4112;17;605;15266
4112;15;596;15277
4128;18;572;15282
4137;15;560;15288
4137;16;556;15291
4145;12;555;15288
4148;10;551;15291
4143;19;561;15277
4153;16;558;15273
4130;16;575;15279
4121;15;593;15271
4147;13;571;15269
4178;14;561;15247
4201;12;545;15242
4215;12;551;15222
4222;11;553;15214
4232;11;533;15224
4249;14;537;15200
4277;13;529;15181
4271;11;560;15158
4256;12;564;15168
4261;12;551;15176
4273;8;551;15168
4253;12;563;15172
4250;16;567;15167
4248;17;556;15179
4232;13;570;15185
4203;14;598;15185
4185;13;613;15189
4177;12;600;15211
4173;11;617;15199
4175;13;603;15209
4155;17;628;15200
4160;16;617;15207
4141;16;609;15234
4128;16;621;15235
4130;15;617;15238
4126;13;607;15254
4128;11;626;15235
4106;9;633;15252
4072;8;644;15276
4068;7;620;15305
4055;7;638;15300
4044;8;642;15306
4041;6;612;15341
4031;5;619;15345
4020;4;606;15370
4027;6;593;15374
4033;8;585;15374
4003;9;606;15382
4017;8;587;15388
4042;14;568;15376
4057;12;566;15365
4050;12;588;15350
4041;11;595;15353
4021;13;595;15371
4029;12;585;15374
4017;12;588;15383
4035;11;588;15366
4020;12;591;15377
4007;13;608;15372
4022;17;582;15379
4005;18;599;15378
3972;15;622;15391
3983;13;609;15395
3966;12;621;15401
3975;14;610;15401
3959;17;622;15402
3948;16;598;15438
3927;13;615;15445
3909;12;612;15467
3913;10;620;15457
3931;8;587;15474
3943;6;570;15481
3931;9;582;15478
3920;7;608;15465
3936;9;597;15458
3937;10;608;15445
3938;12;597;15453
3958;10;583;15449
3988;13;564;15435
4002;13;528;15457
4016;11;529;15444
4050;10;505;15435
4042;11;518;15429
4060;9;527;15404
4049;10;519;15422
4102;7;509;15382
4127;7;508;15358
4133;11;535;15321
4163;12;517;15308
4179;10;534;15277
4198;12;526;15264
4219;13;523;15245
4249;16;512;15223
4224;14;548;15214
4230;13;547;15210
4234;10;555;15201
4261;10;534;15195
4296;11;522;15171
4319;16;527;15138
4338;20;507;15135
4365;18;516;15101
4392;20;505;15083
4380;17;538;15065
4366;13;535;15086
4368;15;541;15076
4389;14;546;15051
4399;8;567;15026
4395;9;573;15023
4385;12;572;15031
4396;15;556;15033
4395;14;575;15016
4399;13;593;14995
4419;11;595;14975
4400;12;612;14976
4392;11;631;14966
4378;8;636;14978
4394;12;617;14977
4395;12;613;14980
4397;14;602;14987
4397;13;606;14984
4392;13;633;14962
4378;10;635;14977
4378;13;620;14989
4373;13;634;14980
4344;12;650;14994
4316;10;655;15019
4290;14;661;15035
4264;15;649;15072
4247;18;636;15099
4251;18;618;15113
4267;17;610;15106
4280;18;609;15093
4295;18;609;15078
4322;15;627;15036
4314;15;661;15010
4302;15;662;15021
4298;16;663;15023
4267;9;663;15061
4242;13;645;15100
4236;15;657;15092
4225;22;656;15097
4230;18;652;15100
4215;16;680;15089
4181;17;691;15111
4167;14;701;15118
4135;18;697;15150
4154;17;705;15124
4125;18;716;15141
4110;19;713;15158
4106;13;715;15166
4079;17;724;15180
4072;16;710;15202
4088;20;683;15209
4086;18;683;15213
4098;14;690;15198
4078;14;693;15215
4086;18;676;15220
4099;18;661;15222
4109;14;672;15205
4105;13;685;15197
4100;13;695;15192
4084;16;705;15195
4057;15;728;15200
4006;14;734;15246
4006;13;726;15255
3994;16;731;15259
3960;12;750;15278
3947;15;737;15301
3943;20;739;15298
3926;22;737;15315
3914;19;744;15323
3918;21;747;15314
3918;19;750;15313
3897;17;759;15327
3895;22;734;15349
3896;16;731;15357
3898;19;730;15353
3881;20;726;15373
3872;17;734;15377
3861;19;739;15381
3840;23;753;15384
3829;19;753;15399
3833;21;726;15420
3832;15;731;15422
3843;17;671;15469
3865;14;674;15447
3882;17;675;15426
3868;24;670;15438
3886;18;688;15408
3889;17;671;15423
3883;22;674;15421
3883;22;683;15412
3901;26;678;15395
3903;23;673;15401
3922;24;635;15419
3931;19;629;15421
3934;19;630;15417
3926;15;623;15436
3930;17;615;15438
3956;19;580;15445
3956;20;582;15442
3966;17;558;15459
3991;15;565;15429
4000;16;563;15421
4027;15;556;15402
4064;11;562;15363
