Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19962;14;21;3
19934;19;41;6
19895;26;64;15
19855;29;92;24
19780;31;146;43
19657;34;238;71
19477;39;367;117
19197;42;571;190
18781;43;877;299
18109;51;1372;468
17157;50;2041;752
15856;45;2942;1157
14148;51;4113;1688
12087;45;5426;2442
9778;43;6796;3383
7509;42;7945;4504
5514;38;8621;5827
3970;38;8807;7185
2854;30;8645;8471
2077;26;8119;9778
1558;30;7466;10946
1215;32;6812;11941
974;31;6185;12810
832;29;5544;13595
707;29;4892;14372
640;24;4339;14997
581;29;3873;15517
547;30;3430;15993
525;29;3048;16398
526;28;2706;16740
537;35;2391;17037
557;39;2125;17279
586;32;1888;17494
606;29;1693;17672
627;24;1506;17843
668;19;1318;17995
713;15;1166;18106
753;14;1043;18190
806;16;933;18245
844;16;820;18320
888;15;747;18350
922;13;649;18416
976;15;573;18436
1032;14;522;18432
1080;15;481;18424
1144;11;434;18411
1191;9;385;18415
1243;6;339;18412
1299;3;301;18397
1356;2;281;18361
1412;3;253;18332
1467;2;221;18310
1529;3;193;18275
1585;3;171;18241
1627;3;158;18212
1689;3;137;18171
1747;2;127;18124
1812;3;117;18068
1872;4;114;18010
1941;2;114;17943
2004;2;94;17900
2061;1;95;17843
2119;1;86;17794
2178;2;84;17736
2232;1;83;17684
2287;0;80;17633
2334;0;85;17581
2379;0;80;17541
2411;1;79;17509
2453;1;75;17471
2516;1;68;17415
2552;1;65;17382
2596;0;63;17341
2654;0;60;17286
2693;0;55;17252
2754;0;45;17201
2800;0;42;17158
2842;0;37;17121
2898;0;34;17068
2938;0;32;17030
2987;0;31;16982
3033;0;25;16942
3071;0;26;16903
3136;0;21;16843
3192;0;23;16785
3235;0;19;16746
3277;0;25;16698
3315;0;26;16659
3359;1;25;16615
3404;1;25;16570
3440;2;20;16538
3488;1;20;16491
3530;1;18;16451
3575;1;13;16411
3614;0;13;16373
3664;0;12;16324
3712;0;13;16275
3750;0;12;16238
3795;0;9;16196
3836;0;11;16153
3893;0;9;16098
3937;0;9;16054
3979;0;7;16014
4038;0;10;15952
4085;0;8;15907
4132;0;6;15862
4178;0;7;15815
4224;0;5;15771
4264;0;5;15731
4310;0;5;15685
4357;0;4;15639
4398;0;5;15597
4437;0;4;15559
4470;0;6;15524
4511;0;2;15487
4563;0;2;15435
4607;0;3;15390
4659;0;2;15339
4704;0;3;15293
4748;0;4;15248
4798;0;5;15197
4843;0;5;15152
4879;0;6;15115
4923;0;6;15071
4969;0;7;15024
5019;0;6;14975
5057;0;6;14937
5095;0;6;14899
5135;0;6;14859
5179;0;7;14814
5208;0;6;14786
5254;0;6;14740
5299;0;5;14696
5344;0;5;14651
5399;0;6;14595
5434;0;6;14560
5483;0;7;14510
5528;0;7;14465
5568;0;7;14425
5604;0;5;14391
5642;0;6;14352
5685;0;6;14309
5721;0;7;14272
5764;0;6;14230
5806;0;5;14189
5845;0;4;14151
5881;0;5;14114
5942;0;4;14054
5972;0;5;14023
6010;0;7;13983
6038;0;8;13954
6087;0;5;13908
6125;0;6;13869
6155;0;7;13838
6189;0;7;13804
6226;0;6;13768
6252;0;9;13739
6284;0;10;13706
6308;0;12;13680
6344;0;13;13643
6377;0;14;13609
6414;0;20;13566
6446;0;17;13537
6481;0;20;13499
6512;0;22;13466
6546;0;23;13431
6592;0;24;13384
6615;0;30;13355
6640;0;27;13333
6672;0;30;13298
6703;0;33;13264
6738;0;45;13217
6760;0;48;13192
6787;0;57;13156
6800;0;63;13137
6830;0;61;13109
6847;0;75;13078
6853;0;79;13068
6878;0;82;13040
6887;0;85;13028
6899;0;94;13007
6924;0;99;12977
6938;0;110;12952
6953;0;122;12925
6972;1;128;12899
6975;0;140;12885
6963;0;156;12881
6951;0;174;12875
6935;0;198;12867
6918;1;225;12856
6900;2;248;12850
6856;1;278;12865
6837;2;288;12873
6803;2;306;12889
6772;1;332;12895
6718;1;370;12911
6700;1;385;12914
6648;2;421;12929
6589;1;456;12954
6513;3;488;12996
6437;6;520;13037
6351;6;581;13062
6237;7;625;13131
6133;7;684;13176
5994;6;755;13245
5863;7;803;13327
5713;7;874;13406
5557;7;952;13484
5396;12;1003;13589
5252;11;1039;13698
5102;10;1063;13825
4954;11;1093;13942
4778;12;1120;14090
4633;10;1155;14202
4474;15;1184;14327
4313;20;1216;14451
4169;15;1248;14568
4036;15;1246;14703
