Susceptible;Exposed;Infected;Recovered
19980;0;20;0
19965;8;24;3
19956;10;27;7
19933;17;37;13
19915;18;46;21
19880;19;68;33
19831;17;106;46
19747;19;159;75
19622;17;263;98
19431;16;411;142
19110;22;662;206
18635;27;1011;327
17941;33;1532;494
16871;36;2302;791
15310;43;3442;1205
13329;39;4771;1861
11065;36;6173;2726
8639;31;7529;3801
6418;24;8512;5046
4569;20;9009;6402
3231;22;8942;7805
2291;20;8556;9133
1680;16;7969;10335
1286;21;7278;11415
985;19;6575;12421
810;27;5811;13352
685;21;5139;14155
607;27;4559;14807
557;28;4051;15364
531;32;3566;15871
512;30;3179;16279
503;28;2818;16651
515;29;2477;16979
524;31;2175;17270
528;35;1912;17525
560;33;1675;17732
592;31;1475;17902
651;29;1322;17998
709;26;1155;18110
740;22;1008;18230
773;18;886;18323
821;18;753;18408
877;21;680;18422
921;20;603;18456
967;15;555;18463
1001;9;493;18497
1049;7;435;18509
1088;6;400;18506
1137;7;356;18500
1178;5;332;18485
1239;2;288;18471
1286;2;255;18457
1344;2;233;18421
1392;2;221;18385
1439;3;196;18362
1499;2;179;18320
1555;2;172;18271
1605;1;147;18247
1645;2;138;18215
1696;2;127;18175
1745;3;115;18137
1802;3;104;18091
1865;2;94;18039
1928;2;84;17986
1979;2;76;17943
2026;3;66;17905
2085;4;62;17849
2146;3;54;17797
2200;4;51;17745
2250;4;51;17695
2308;2;49;17641
2359;1;50;17590
2412;1;41;17546
2466;1;42;17491
2511;1;40;17448
2578;1;40;17381
2625;1;40;17334
2672;1;37;17290
2734;1;33;17232
2792;1;30;17177
2834;1;30;17135
2891;1;28;17080
2935;1;28;17036
2992;0;26;16982
3049;0;22;16929
3087;0;23;16890
3117;0;28;16855
3163;0;28;16809
3208;0;27;16765
3260;0;28;16712
3311;0;25;16664
3351;0;29;16620
3411;0;24;16565
3453;1;22;16524
3504;0;19;16477
3557;0;20;16423
3607;0;15;16378
3655;0;15;16330
3712;0;11;16277
3748;0;14;16238
3792;0;15;16193
3838;0;14;16148
3870;0;14;16116
3920;0;13;16067
3961;0;8;16031
4013;0;7;15980
4071;0;7;15922
4109;0;6;15885
4162;0;8;15830
4216;0;8;15776
4263;0;9;15728
4312;1;7;15680
4357;1;6;15636
4392;1;6;15601
4445;1;7;15547
4488;0;6;15506
4528;0;6;15466
4576;0;5;15419
4626;0;5;15369
4673;0;6;15321
4723;0;6;15271
4769;0;5;15226
4810;0;3;15187
4857;0;3;15140
4893;0;4;15103
4934;0;3;15063
4982;0;3;15015
5022;0;3;14975
5080;0;3;14917
5119;0;5;14876
5160;0;3;14837
5197;0;4;14799
5238;0;7;14755
5284;0;5;14711
5327;0;6;14667
5381;0;6;14613
5420;0;7;14573
5464;0;10;14526
5505;0;11;14484
5538;0;12;14450
5575;0;11;14414
5607;0;13;14380
5645;0;16;14339
5683;0;13;14304
5721;0;12;14267
5750;0;17;14233
5793;0;16;14191
5822;0;18;14160
5852;0;18;14130
5886;0;21;14093
5925;0;26;14049
5958;0;30;14012
5992;0;33;13975
6025;0;36;13939
6051;0;39;13910
6081;0;45;13874
6102;0;51;13847
6124;0;54;13822
6155;0;63;13782
6161;0;74;13765
6176;0;82;13742
6176;0;97;13727
6194;0;108;13698
6198;0;118;13684
6206;1;135;13658
6223;1;129;13647
6231;2;132;13635
6237;2;141;13620
6245;2;153;13600
6242;1;162;13595
6227;1;185;13587
6212;2;202;13584
6197;3;225;13575
6188;2;236;13574
6163;2;272;13563
6137;2;294;13567
6094;1;327;13578
6071;2;337;13590
6002;4;384;13610
5954;6;414;13626
5889;4;439;13668
5842;4;465;13689
5800;5;468;13727
5761;5;480;13754
5701;5;509;13785
5616;6;555;13823
5541;4;594;13861
5473;5;604;13918
5373;7;656;13964
5284;2;682;14032
5203;1;704;14092
5090;4;751;14155
5013;5;745;14237
4923;4;784;14289
4835;3;797;14365
4734;3;823;14440
4655;7;820;14518
4566;10;837;14587
4476;6;878;14640
4368;8;920;14704
4267;8;925;14800
4160;7;927;14906
4071;10;923;14996
4001;12;931;15056
3910;13;954;15123
